,device_contact_id,unit_location_x,unit_location_y,mouse,shank_id,Mouse,coord_SCs_z,coord_SCs_y,coord_SCs_x,coord_CCFs_z,coord_CCFs_y,coord_CCFs_x,brain_region
162,s0e354,0.0,2655.0,20,0,M20,4363.90500029697,1710.9635191372045,-3150.0,9905.413740428494,1866.2222460824914,2550.0,VISp4
163,s0e355,32.0,2655.0,20,0,M20,4363.90500029697,1710.9635191372045,-3150.0,9905.413740428494,1866.2222460824914,2550.0,VISp4
164,s0e356,0.0,2670.0,20,0,M20,4365.453133690787,1696.0436235948441,-3150.0,9905.577079466664,1850.3324668136534,2550.0,VISp4
165,s0e357,32.0,2670.0,20,0,M20,4365.453133690787,1696.0436235948441,-3150.0,9905.577079466664,1850.3324668136534,2550.0,VISp4
166,s0e358,0.0,2685.0,20,0,M20,4367.001267084604,1681.1237280524833,-3150.0,9905.740418504833,1834.4426875448148,2550.0,VISp4
167,s0e359,32.0,2685.0,20,0,M20,4367.001267084604,1681.1237280524833,-3150.0,9905.740418504833,1834.4426875448148,2550.0,VISp4
168,s0e360,0.0,2700.0,20,0,M20,4368.5494004784205,1666.203832510123,-3150.0,9905.903757543005,1818.552908275977,2550.0,VISp4
169,s0e361,32.0,2700.0,20,0,M20,4368.5494004784205,1666.203832510123,-3150.0,9905.903757543005,1818.552908275977,2550.0,VISp4
170,s0e362,0.0,2715.0,20,0,M20,4370.097533872237,1651.2839369677627,-3150.0,9906.067096581173,1802.6631290071389,2550.0,VISp4
171,s0e363,32.0,2715.0,20,0,M20,4370.097533872237,1651.2839369677627,-3150.0,9906.067096581173,1802.6631290071389,2550.0,VISp4
172,s0e364,0.0,2730.0,20,0,M20,4371.645667266054,1636.3640414254019,-3150.0,9906.230435619345,1786.7733497383003,2550.0,VISp4
173,s0e365,32.0,2730.0,20,0,M20,4371.645667266054,1636.3640414254019,-3150.0,9906.230435619345,1786.7733497383003,2550.0,VISp4
174,s0e366,0.0,2745.0,20,0,M20,4373.193800659871,1621.4441458830415,-3150.0,9906.393774657514,1770.8835704694623,2550.0,VISp4
175,s0e367,32.0,2745.0,20,0,M20,4373.193800659871,1621.4441458830415,-3150.0,9906.393774657514,1770.8835704694623,2550.0,VISp4
176,s0e368,0.0,2760.0,20,0,M20,4374.741934053688,1606.5242503406812,-3150.0,9906.557113695684,1754.9937912006242,2550.0,VISp4
177,s0e369,32.0,2760.0,20,0,M20,4374.741934053688,1606.5242503406812,-3150.0,9906.557113695684,1754.9937912006242,2550.0,VISp4
178,s0e370,0.0,2775.0,20,0,M20,4376.290067447505,1591.6043547983204,-3150.0,9906.720452733854,1739.1040119317856,2550.0,VISp2/3
179,s0e371,32.0,2775.0,20,0,M20,4376.290067447505,1591.6043547983204,-3150.0,9906.720452733854,1739.1040119317856,2550.0,VISp2/3
180,s0e372,0.0,2790.0,20,0,M20,4377.838200841323,1576.68445925596,-3150.0,9906.883791772027,1723.2142326629476,2550.0,VISp2/3
181,s0e373,32.0,2790.0,20,0,M20,4377.838200841323,1576.68445925596,-3150.0,9906.883791772027,1723.2142326629476,2550.0,VISp2/3
182,s0e374,0.0,2805.0,20,0,M20,4379.38633423514,1561.7645637135997,-3150.0,9907.047130810195,1707.3244533941095,2550.0,VISp2/3
